Case ID,"Overall, how often do you use the internet?",Do you do use social media?,Does social media make you feel more connected to information about what's going on in your friends' lives?,Does social media make you feel worse about your own life because of what you see from other friends on social media?,Does social media make you feel better connected to your friends' feelings?,Does social media make you feel pressure to post content that will be popular and get lots of comments or likes?,Does social media make you feel pressure to only post content that makes you look good to others?,Do you ever experience on social media people posting about things you werent invited to?,Do you ever experience on social media people stirring up drama?,Do you ever experience on social media people posting things about you that you cant change or control?,Do you ever experience on social media people supporting you through challenges or tough times?,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
43,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"$50,000-$99,000"
44,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a lot","Yes, a little","Yes, occasionally",No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Not working - other,Yes,"$100,000+"
46,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$100,000+"
47,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, frequently",Strongly agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",2,A one-family house detached from any other house,Widowed,Metro,South,Owned or being bought by you or someone in your household,NC,Working - as a paid employee,Yes,"$50,000-$99,000"
48,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Strongly agree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,MD,Working - as a paid employee,Yes,"$50,000-$99,000"
51,Once a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,South,Rented for cash,TX,Not working - other,Yes,"$50,000-$99,000"
54,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally","Yes, frequently","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,NV,Not working - disabled,Yes,"$50,000-$99,000"
55,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,"Yes, a lot","Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly disagree,Strongly agree,Strongly agree,No,Hispanic,14,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$100,000+"
57,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",5,A building with 2 or more apartments,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $50,000"
58,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house attached to one or more houses,Divorced,Metro,South,Rented for cash,FL,Not working - retired,Yes,"under $50,000"
59,Almost constantly,Yes,"Yes, a little","Yes, a little",No,No,"Yes, a lot","Yes, occasionally","Yes, frequently","Yes, occasionally",No,Agree,Agree,Disagree,No,Hispanic,15,Male,"Yes, male to female",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"under $50,000"
60,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,"2+ Races, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,NC,Not working - other,Yes,"$50,000-$99,000"
63,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,13,Male,"No, not transgender",4,A building with 2 or more apartments,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $50,000"
65,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$100,000+"
66,Several times a day,Yes,"Yes, a little",No,No,No,"Yes, a little","Yes, occasionally","Yes, occasionally",No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$50,000-$99,000"
67,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",13,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$50,000-$99,000"
72,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently",Agree,Agree,Agree,No,Hispanic,14,Male,"No, not transgender",3,A one-family house detached from any other house,Living with partner,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$50,000-$99,000"
73,About once a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",3,A building with 2 or more apartments,Never married,Non-Metro,South,Occupied without payment of cash rent,TN,Not working - looking for work,Yes,"under $50,000"
78,About once a day,Yes,No,No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$50,000-$99,000"
79,Several times a day,Yes,No,No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Rented for cash,NC,Not working - other,Yes,"under $50,000"
81,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Strongly agree,No,"Black, Non-Hispanic",15,Male,"No, not transgender",2,A one-family house attached to one or more houses,Divorced,Metro,South,Rented for cash,FL,Working - as a paid employee,Yes,"under $50,000"
83,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a little",No,No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$50,000-$99,000"
84,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,14,Male,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Not working - other,Yes,"$100,000+"
85,Almost constantly,Yes,No,No,"Yes, a little","Yes, a little",No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,Hispanic,16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,DE,Not working - on temporary layoff from a job,Yes,"under $50,000"
89,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Disagree,Agree,Agree,No,Hispanic,14,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$50,000-$99,000"
90,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,"No, not transgender",2,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Working - as a paid employee,Yes,"$50,000-$99,000"
91,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little","Yes, a lot","Yes, a little","Yes, frequently","Yes, frequently",No,"Yes, frequently",Disagree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$50,000-$99,000"
92,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,WI,Not working - other,Yes,"$50,000-$99,000"
95,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a lot","Yes, a little","Yes, a lot","Yes, occasionally","Yes, frequently","Yes, occasionally",No,Agree,Agree,Disagree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$100,000+"
97,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little",No,"Yes, a little",No,"Yes, frequently",No,No,Agree,Agree,Strongly agree,Yes,Hispanic,15,Male,"No, not transgender",6,A building with 2 or more apartments,Married,Metro,Northeast,Rented for cash,NY,Not working - other,Yes,"under $50,000"
101,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,No,Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"Yes, gender non-conforming",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$100,000+"
102,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Disagree,Disagree,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A mobile home,Married,Metro,South,Owned or being bought by you or someone in your household,WV,Not working - looking for work,Yes,"under $50,000"
104,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,Midwest,Rented for cash,IL,Working - as a paid employee,Yes,"$50,000-$99,000"
108,Several times a day,Yes,"Yes, a little","Yes, a little",No,"Yes, a little",No,"Yes, occasionally","Yes, occasionally",No,No,Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$100,000+"
110,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,"Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"Black, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Rented for cash,AL,Working - as a paid employee,Yes,"$50,000-$99,000"
111,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - as a paid employee,Yes,"$50,000-$99,000"
116,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Disagree,No,"White, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,IA,Working - as a paid employee,Yes,"$100,000+"
117,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Disagree,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - self-employed,Yes,"under $50,000"
118,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"2+ Races, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Not working - other,Yes,"$50,000-$99,000"
119,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$50,000-$99,000"
120,Almost constantly,Yes,"Yes, a little",No,"Yes, a lot",No,"Yes, a little","Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A building with 2 or more apartments,Divorced,Metro,Northeast,Rented for cash,MA,Working - as a paid employee,Yes,"under $50,000"
121,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently",No,"Yes, frequently",Agree,Agree,Disagree,No,Hispanic,17,Female,"No, not transgender",5,A one-family house detached from any other house,Separated,Metro,Northeast,Rented for cash,NJ,Not working - disabled,Yes,"under $50,000"
123,Several times a day,Yes,"Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, a lot","Yes, occasionally","Yes, frequently",No,No,Disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,AZ,Working - as a paid employee,Yes,"$100,000+"
124,Several times a day,Yes,"Yes, a little",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,HI,Not working - retired,Yes,"$100,000+"
126,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - self-employed,Yes,"$100,000+"
127,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"Other, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Working - as a paid employee,Yes,"$100,000+"
129,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,Hispanic,14,Female,"No, not transgender",6,A building with 2 or more apartments,Never married,Metro,West,Rented for cash,NV,Working - as a paid employee,Yes,"$50,000-$99,000"
131,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a little","Yes, a little","Yes, a lot","Yes, frequently","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Strongly agree,Agree,No,"2+ Races, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$100,000+"
132,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"under $50,000"
133,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Strongly agree,Agree,Strongly agree,No,"Other, Non-Hispanic",17,Male,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$50,000-$99,000"
135,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Rented for cash,OR,Working - as a paid employee,Yes,"$50,000-$99,000"
136,Several times a day,Yes,No,No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,"Black, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Divorced,Metro,South,Owned or being bought by you or someone in your household,TN,Working - as a paid employee,Yes,"$50,000-$99,000"
140,Almost constantly,Yes,"Yes, a little",No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",No,Agree,Disagree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Rented for cash,WA,Working - as a paid employee,Yes,"under $50,000"
141,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,NC,Working - as a paid employee,Yes,"$50,000-$99,000"
142,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - as a paid employee,Yes,"$100,000+"
144,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Not working - other,Yes,"$100,000+"
145,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Female,"No, not transgender",2,A building with 2 or more apartments,Separated,Metro,Northeast,Rented for cash,NJ,Working - as a paid employee,Yes,"under $50,000"
